学生句子,参考文献1中句子,相似度1,参考文献2中句子,相似度2
以及改进措施，,目的在于了解学生对翻转课堂教学模式的态度以及对课程实施的意见。,0.42857142857142855,以及是否有效促进了学生知识、技能的发展等方面。,0.42857142857142855
这在翻转课堂不断发展的过程中具有重要意义。,目的在于了解学生对翻转课堂教学模式的态度以及对课程实施的意见。,0.3333333333333333,以期掌握有效进行“翻转课堂”教学实践的过程、方法与注意事项，,0.3333333333333333
此文献采用实践法进行研究，,采用对照实验和问卷调查研究方法，,0.38461538461538464,还没有看到从实证的角度对翻转课堂进行研究的案例。,0.38461538461538464
提高了论文内容的真实性和研究结论的准确性。,采用对照实验和问卷调查研究方法，,0.19047619047619047,在借鉴美国科罗拉多州落基山“林地公园”高中、克林顿戴尔(Clintondale)高中的翻转课堂实践和RobertTalbert研究的基础上，,0.23809523809523808
但论文全文都是从翻转课堂引领者的角度进行考虑，,实验组班级采用本文论述的翻转课堂教学模式进行教学，,0.30434782608695654,还没有看到从实证的角度对翻转课堂进行研究的案例。,0.30434782608695654
缺乏课堂另一个重要主体学习者的分析，,2翻转课堂教学模型分析与构建,0.2777777777777778,2013年第8期(总第244期)二、翻转课堂教学效果分析,0.2777777777777778
使论文的研究方向缺乏全面性。,采用对照实验和问卷调查研究方法，,0.21428571428571427,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.21428571428571427
在这种研究方法及研究方向的基础上，,采用对照实验和问卷调查研究方法，,0.23529411764705882,在借鉴美国科罗拉多州落基山“林地公园”高中、克林顿戴尔(Clintondale)高中的翻转课堂实践和RobertTalbert研究的基础上，,0.35294117647058826
作者最终提出了“翻转课堂不仅是对传统教学形式的简单翻转，,翻转课堂教学模式有着不同于传统教学模式的特点。,0.35714285714285715,翻转课堂不仅是对传统教学形式的简单翻转，,0.6428571428571429
而且是从尊重人、尊重人的发展规律的角度对课程教学结构的根本性变革”，,并对课程学习过程进行总结。,0.14705882352941177,而且是从尊重人、尊重人的发展规律的角度对课程教学结构的根本性变革。,0.8529411764705882
即教育的本质是以人为本，,2011年《国家中长期教育改革和发展规划纲要(2010—2020年)》发布以来，,0.25,我们根据课下收集、整理的问题的性质决定是组织“以实践活动任务为主线的探究式课堂”，,0.3333333333333333
教育的目的是培养人的发展，,2011年《国家中长期教育改革和发展规划纲要(2010—2020年)》发布以来，,0.3076923076923077,“非线性编辑”课程是教育技术学专业教育影视技能培养的一门理论与实践结合且偏重实践性的课程，,0.3076923076923077
只有严格遵循了这一教育规律，,2011年《国家中长期教育改革和发展规划纲要(2010—2020年)》发布以来，,0.21428571428571427,这里的课堂活动不是传统的“授受主义”的单一的教师讲授，,0.21428571428571427
才是实施真正意义上的教育。,而翻转课堂是一种自下而上的教育模式改革，,0.3076923076923077,才能真正提升教学的质量，,0.3076923076923077
翻转课堂作为一种课堂模式，,翻转课堂教学模式作为一种人性化的课堂策略，,0.7692307692307693,[10]翻转课堂作为一种“先使用视频自学，,0.6153846153846154
也应该基于这种教育规律，,设计了较为完整的基于翻转课堂模式的教学设计方案，,0.25,基于“翻转课堂”教学的具体形式，,0.25
明确师生角色定位，,颠倒了教师和学生的角色。,0.4444444444444444,(一)师生角色重定位:,0.6666666666666666
精制课堂视频并且重建课堂对话，,即学生在家里看视频代替老师的课堂讲解，,0.26666666666666666,进行师生角色重定位、精制课程教学视频、重建课堂对话是真正实现翻转课堂的有效路径。,0.7333333333333333
来进行翻转课堂的有效实施。,从而阻碍了翻转课堂的有效实施。,0.6153846153846154,进行师生角色重定位、精制课程教学视频、重建课堂对话是真正实现翻转课堂的有效路径。,0.6153846153846154
第二篇文献主要是对翻转课堂模式的教学设计方案的具体设计并予以实施。,设计了较为完整的基于翻转课堂模式的教学设计方案，,0.36363636363636365,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.2727272727272727
在教学实施中采用对照实验和问卷调查研究方法，,采用对照实验和问卷调查研究方法，,0.6818181818181818,在借鉴美国科罗拉多州落基山“林地公园”高中、克林顿戴尔(Clintondale)高中的翻转课堂实践和RobertTalbert研究的基础上，,0.2727272727272727
对学习效果进行分析。,对学习效果进行分析。,0.9,2013年第8期(总第244期)二、翻转课堂教学效果分析,0.5
本文首先解释了什么是翻转课堂，,实验组班级采用本文论述的翻转课堂教学模式进行教学，,0.4,那么互动交流则是翻转课堂之所以能够颠覆传统的授受主义教学方式的缘由。,0.4
及说明了翻转课堂的流行趋势，,翻转课堂应潮流而生，,0.35714285714285715,还没有看到从实证的角度对翻转课堂进行研究的案例。,0.35714285714285715
并提出有翻转课堂所引申出来的各种课堂教学模式，,文章提出了翻转课堂的教学模型，,0.391304347826087,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.34782608695652173
并在此基础上对教学方案进行设计。,我们的对照班采用传统的“教师讲+学生练习”的方式进行授课，,0.375,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.3125
对照实验和问卷调查方法两种研究方法的使用，,采用对照实验和问卷调查研究方法，,0.6190476190476191,同时对授课对象——2010级教育技术学班的65名学生进行问卷调查，,0.23809523809523808
促进了研究调查的实施，,同时对实验班的学生进行问卷调查。,0.2727272727272727,国内学者也进行了相关研究，,0.2727272727272727
提高了研究结论的真实性，,采用对照实验和问卷调查研究方法，,0.16666666666666666,创设真实性实践任务”为原则，,0.25
增强了对比性，,转课堂由于强调课上学生协作学习以及教师针对性的指导，,0.42857142857142855,增强了视频的互动性。,0.42857142857142855
使翻转课堂的特点更为突出。,翻转课堂教学模式有着不同于传统教学模式的特点。,0.46153846153846156,“翻转课堂”实践活动设计与任务“非线性编辑”作为一门理论与实践结合并偏重实,0.38461538461538464
但论文只提出了课前、课中所要注重的反面，,文章提出了翻转课堂的教学模型，,0.2,设计了包括“课前自学、课中内化讨论和课后升华”三个阶段的翻转课堂实施过程(见图1)。,0.25
并没有顾及到课后这一重要的课堂延伸，,有专家认为其中一个重要原因是课程改革是自上而下推进的，,0.2777777777777778,还没有看到从实证的角度对翻转课堂进行研究的案例。,0.2777777777777778
而这恰恰是对同学自主学习要求更高、重要性更强的一个环节。,这段时间来和学习伙伴讨论自主学习时遇到的问题，,0.21428571428571427,课程教学视频资源的视觉效果优教学视频能激发学习兴趣教学视频长度比较适中教师能及时提供视频的重难点讲解手册教学视频的互动性较强,0.21428571428571427
最后作者提出“翻转课堂的实质不在于它运用了那些高科技或者信息技术，,翻转课堂的实质不在于它运用了哪些高科技或者信息技术，,0.6666666666666666,翻转课堂教学最大的变化是知识传授在课下通过信息技术的帮助来完成，,0.2727272727272727
而在于思维模式的创新”这一观点，,而在于思维模式的创新。,0.5625,我们又将其细化为“模拟摄录一体机视频采集”、“数码摄录一体机视频采集”和“素材导入与管理”等三个“知识点组”，,0.25
这句话正表明了教学模式实质上是适应人的发展而进行改变的，,实验组班级采用本文论述的翻转课堂教学模式进行教学，,0.21428571428571427,我们从教学视频和实践活动两方面对课程教学进行了准备。,0.17857142857142858
没有哪一种课堂模式是真正完美的，,设计了较为完整的基于翻转课堂模式的教学设计方案，,0.25,就没有办法参与下一环节的课堂活动，,0.3125
适合的才是最好的。,世界上并不存在一种完美的教学模式适合所有的教学。,0.2222222222222222,也就是说学生通过自行观看教师事先录制好的教学视频，,0.2222222222222222
两篇论文分别从翻转课堂的参与者和设计者两个视角切入，,设计了较为完整的基于翻转课堂模式的教学设计方案，,0.23076923076923078,教师成为课堂活动的组织者、参与者和对话者。,0.2692307692307692
对翻转课堂的实施与研究进行了分析与评价。,2翻转课堂教学模型分析与构建,0.35,笔者于2012年秋对信阳师范学院开设的“非线性编辑”课程进行了“翻转课堂”教学实践研究，,0.4
虽然研究方法及研究方向各不相同，,采用对照实验和问卷调查研究方法，,0.25,可以通过面对面交谈、网络交流(如QQ、飞信、微信等)等方式向教师请教或与同学讨论来解决。,0.1875
但都以促进翻转课堂发展为根本目标，,可以保证翻转课堂的有效开展。,0.35294117647058826,以期掌握有效进行“翻转课堂”教学实践的过程、方法与注意事项，,0.35294117647058826
对翻转课堂这一教学模式的有效进行具有重要意义。,实验组班级采用本文论述的翻转课堂教学模式进行教学，,0.43478260869565216,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.391304347826087
“学生在家通过视频学习新知识，,即学生在家里看视频代替老师的课堂讲解，,0.4,“学生在家通过视频学习新知识，,0.9333333333333333
到学校消化巩固和融会贯通的‘翻转课堂’”清晰明了地表达了翻转课堂的含义。,翻转课堂教学模式作为一种人性化的课堂策略，,0.16666666666666666,固和融会贯通”的“翻转课堂”(theFlippedClassroom，,0.3055555555555556
“翻转课堂”实际上就是课下通过学生自主学习，,它往往以微视频形式作为翻转课堂课前学生自学的重要资源。,0.4090909090909091,翻转课堂教学最大的变化是知识传授在课下通过信息技术的帮助来完成，,0.4090909090909091
将知识进行自我理解，,学生利用课前教师备课过程中的核心知识点进行预习，,0.4,为了便于学生观看和对知识点进行充分讲解，,0.5
课堂上结合各种多媒体技术进行进一步的消化的过程。,课上进行内容的深化，,0.20833333333333334,以便教师在课堂上进行专题讲解或组织讨论。,0.20833333333333334
翻转课堂作为一种新型的教学模式，,翻转课堂(FlippedClassroom)是一种新型教学模式，,0.75,[10]翻转课堂作为一种“先使用视频自学，,0.5625
在其不断发展的过程中，,在实施的过程中发现它存在着一些弊端，,0.36363636363636365,[11]也就是知识在体验中生成、在反思中发展、在共享中增值。,0.36363636363636365
也同样促进了教育方式的转变。,也能促进教师教学水平和教育技术能力的提高。,0.35714285714285715,教学方式的转变，,0.35714285714285715
