学生句子,参考文献1中句子,相似度1,参考文献2中句子,相似度2
应该有极强的教学组织能力这对教师提出了新的要求，,学生对课程提出的意见主要有三点。,0.20833333333333334,教学视频研发者与建构者的角色不仅对教师的视频录制技能、教学设计技能、教学知识处理能力、知识讲解能力等提出了新的要求，,0.4166666666666667
也是对教师的一大挑战。,萨尔曼•可汗也是翻转课堂教学实施的领军人物。,0.2727272727272727,自制教学视频对教师的教学技术和时间提出了挑战。,0.45454545454545453
我认为翻转课堂不仅要形似还要神似，,它往往以微视频形式作为翻转课堂课前学生自学的重要资源。,0.35294117647058826,翻转课堂不仅是对传统教学形式的简单翻转，,0.4117647058823529
我们虽然在“形”上实施了翻转课堂，,而实施翻转课堂之后，,0.35294117647058826,我们虽在“形”上实施了翻转课堂，,0.8235294117647058
却没有做到“神”似。,真正做到了“因材施教”;,0.4,却没有做到“神”似。,0.9
在《翻转课堂的冷思考：,在翻转课堂中，,0.45454545454545453,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.45454545454545453
实证与反思》一文中虽录制了视频，,他们用录屏软件来将他们授课用的课件加以讲解录制成教学视频，,0.25,虽录制了视频，,0.3125
但是互动性交互性不尽人意，,但是教师应注意到知识碎片化，,0.23076923076923078,但互动性、交互性不尽如人意;,0.8461538461538461
虽组织了课堂讨论但是并没有有效的激发兴趣引起讨论，,翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,0.16,普遍认为自己在课堂讨论中的发言较少或几乎没有有价值的发言(以上内容的相关数据见表2)，,0.32
岁进行了课堂讨论，,它的设计、开发、教学运用、评价、管理、经验总结为翻转课堂制作视频作了实践与理论基础和素材资源[4]。,0.3333333333333333,笔者于2012年秋对信阳师范学院开设的“非线性编辑”课程进行了“翻转课堂”教学实践研究，,0.4444444444444444
操作性任务比重高，,教师负责制作微视频课程、提供丰富的资源、布置任务等，,0.3333333333333333,但操作性任务比重高，,0.8888888888888888
沟通也流于形式。,设计了较为完整的基于翻转课堂模式的教学设计方案，,0.25,造成沟通流于形式。,0.75
世界上并不存在一种完美的教学方式适合所有的教学。,世界上并不存在一种完美的教学模式适合所有的教学。,0.8333333333333334,教师自行录制教学视频不仅能够完全与教师设定的教学目标和教学内容相吻合，,0.25
在《基于翻转课堂模式的教学设计与应用研究》一文中，,设计了较为完整的基于翻转课堂模式的教学设计方案，,0.48,笔者于2012年秋对信阳师范学院开设的“非线性编辑”课程进行了“翻转课堂”教学实践研究，,0.36
虽然经过了翻转课堂的教学学生的成绩有所提高，,翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,0.5,翻转课堂活动组织对教师的教学能力有了更高的要求。,0.36363636363636365
但是翻转课堂随有着种种优势，,翻转课堂虽然有着种种优势，,0.7142857142857143,进行师生角色重定位、精制课程教学视频、重建课堂对话是真正实现翻转课堂的有效路径。,0.42857142857142855
在实施过程中也存在种种弊端，,在实施的过程中发现它存在着一些弊端，,0.7142857142857143,(二)“翻转课堂”教学实施过程,0.2857142857142857
以至于他的实施过程并不是一帆风顺，,以致于它的实施过程并非一帆风顺，,0.6470588235294118,以期掌握有效进行“翻转课堂”教学实践的过程、方法与注意事项，,0.23529411764705882
面对重重的障碍。,面对重重的阻碍。,0.625,我们从教学视频和实践活动两方面对课程教学进行了准备。,0.25
这两篇文献都在解决翻转课堂适不适合教学的问题，,目的在于了解学生对翻转课堂教学模式的态度以及对课程实施的意见。,0.34782608695652173,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.30434782608695654
《翻转课堂的冷思考：,翻转课堂成为国内外教育界的热门话题。,0.4,固和融会贯通”的“翻转课堂”(theFlippedClassroom，,0.4
实证与反思》一文认为翻转课堂并没有那么美好，,可以保证翻转课堂的有效开展。,0.2727272727272727,翻转课堂并没有明显地提升学生对知识与技能的习得水平。,0.3181818181818182
经过翻转课堂的实施，,萨尔曼•可汗也是翻转课堂教学实施的领军人物。,0.6,通过“非线性编辑”课程翻转课堂教学实施和教学效果分析发现，,0.7
学生的成绩也没有提高。,翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,0.45454545454545453,学生对非线性编辑的技能并没有较为明显的提升。,0.45454545454545453
但《基于翻转课堂模式的教学设计与应用研究》运用了对照试验的方法发现翻转课堂对教学是有一定的帮助的，,设计了较为完整的基于翻转课堂模式的教学设计方案，,0.2653061224489796,笔者于2012年秋对信阳师范学院开设的“非线性编辑”课程进行了“翻转课堂”教学实践研究，,0.1836734693877551
但也有它的缺陷。,但也有个别同学指出小组合作学习中，,0.375,国内也有其他学者译为“颠倒课堂”或“反转教学”)逐渐风靡全球。,0.25
这两篇文献进行的实验次数太少，,我们对两个班的学生进行测试，,0.2,笔者于2012年秋对信阳师范学院开设的“非线性编辑”课程进行了“翻转课堂”教学实践研究，,0.2
应进行多次试验在得出结论。,为我国的教育改革的进行做出了贡献。,0.23076923076923078,以便教师在课堂上进行专题讲解或组织讨论。,0.23076923076923078
我认为翻转课堂是一种新颖的教学模式，,翻转课堂(FlippedClassroom)是一种新型教学模式，,0.6666666666666666,但主要集中在对翻转课堂的介绍、教学模式的探究等方面，,0.4444444444444444
还需要我们不断进行探索，,利用哪些平台能够辅助翻转课堂的实施等一系列问题还需要我们做,0.4166666666666667,我们利用“翻转课堂”对课程教学进行了革新。,0.3333333333333333
世界上没有一宗完美的教学方式，,世界上并不存在一种完美的教学模式适合所有的教学。,0.6,以期掌握有效进行“翻转课堂”教学实践的过程、方法与注意事项，,0.26666666666666666
我们也不能一味的将翻转课堂定义为一种完全好或者完全坏的教学方式，,翻转课堂已演变成一种在整个北美甚至全世界广为流传的新型教学模式。,0.3125,我们利用“翻转课堂”对课程教学进行了革新。,0.25
翻转课堂需要教师自我素质的提高，,翻转课堂教学模式对提高学生成绩以及增强学习兴趣有积极作用。,0.4375,翻转课堂活动组织对教师的教学能力有了更高的要求。,0.4375
也需要学生学习的自觉性，,转课堂由于强调课上学生协作学习以及教师针对性的指导，,0.4166666666666667,也对学生的学习能力提出了新要求。,0.4166666666666667
二者相互结合，,我国的学者曾贞和张金磊[9]也结合自己的教学实践，,0.42857142857142855,如何将程序性操作知识与具体实践问题相结合，,0.42857142857142855
